home_team,away_team,home1,home2,home3,home4,home5,home6,home7,home8,home9,home10,home11,away1,away2,away3,away4,away5,away6,away7,away8,away9,away10,away11,home_score,away_score,season
sunderland-afc,middlesbrough-fc,Vito Mannone,Patrick van Aanholt,Papy Djilobodji,John O'Shea,Paddy McNair,Donald Love,Jack Rodwell,Adnan Januzaj,Lynden Gooch,Duncan Watmore,Jermain Defoe,Brad Guzan,George Friend,Ben Gibson, BarragÃ¡n,Adam Clayton,Stewart Downing,GastÃ³n RamÃ­rez,Adam Forshaw, Ãlvaro Negredo,Cristhian Stuani,Emilio N'Sue,1.0,2.0,2017
sunderland-afc,southampton-fc,Vito Mannone,Billy Jones,Bryan Oviedo,Jason Denayer,John O'Shea,Lamine KonÃ©,Sebastian Larsson,Didier Ndong,Darron Gibson,Adnan Januzaj,Jermain Defoe,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,DuÅ¡an TadiÄ,Manolo Gabbiadini,0.0,4.0,2017
sunderland-afc,stoke-city,Vito Mannone,Patrick van Aanholt,Jason Denayer,Papy Djilobodji,John O'Shea,Donald Love,Sebastian Larsson,Jack Rodwell,Adnan Januzaj,Fabio Borini,Jermain Defoe,Lee Grant,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Charlie Adam,Xherdan Shaqiri,Marko ArnautoviÄ,Peter Crouch,1.0,3.0,2017
sunderland-afc,swansea-city,Jordan Pickford,Billy Jones,Jason Denayer,John O'Shea, Manquillo,Lamine KonÃ©,Sebastian Larsson,Didier Ndong,Fabio Borini,Jermain Defoe,Victor Anichebe,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Sung-yueng Ki,Leon Britton,Gylfi SigurÃ°sson,Tom Carroll,Jordan Ayew, Llorente,0.0,2.0,2017
sunderland-afc,tottenham-hotspur,Vito Mannone,Billy Jones,Jason Denayer,John O'Shea, Manquillo,Lamine KonÃ©,Sebastian Larsson,Jack Rodwell,Didier Ndong,Fabio Borini,Jermain Defoe,Michel Vorm,Kyle Walker,Danny Rose,Toby Alderweireld,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane,0.0,0.0,2017
sunderland-afc,watford-fc,Jordan Pickford,Patrick van Aanholt,Jason Denayer,Papy Djilobodji,Donald Love,Lamine KonÃ©,Didier Ndong,Adnan Januzaj,Fabio Borini,Jermain Defoe,Victor Anichebe, Gomes,Miguel Britos,YounÃ¨s Kaboul,Sebastian PrÃ¶dl,Juan ZÃºÃ±iga,JosÃ© Holebas,Valon Behrami,Ãtienne Capoue,Nordin Amrabat,Troy Deeney,Odion Ighalo,1.0,0.0,2017
sunderland-afc,west-bromwich-albion,Jordan Pickford,Jason Denayer,John O'Shea,Paddy McNair, Manquillo,Lamine KonÃ©,Jan Kirchhoff,Wahbi Khazri,Didier Ndong,Duncan Watmore,Jermain Defoe,Ben Foster,Allan Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,Matt Phillips,Darren Fletcher,SalomÃ³n RondÃ³n,James McClean,Nacer Chadli,1.0,1.0,2017
sunderland-afc,west-ham-united,Jordan Pickford,Billy Jones,Jason Denayer,John O'Shea, Manquillo,Lee Cattermole,Wahbi Khazri,Didier Ndong,Darron Gibson,Jermain Defoe,Victor Anichebe,Darren Randolph,James Collins,Sam Byram, JosÃ© Fonte,Arthur Masuaku,Cheikhou KouyatÃ©,Manuel Lanzini,Robert Snodgrass,Edimilson Fernandes,Andy Carroll,AndrÃ© Ayew,2.0,2.0,2017
swansea-city,afc-bournemouth,Åukasz FabiaÅski, Jordi Amat,Neil Taylor,Alfie Mawson,Kyle Naughton,Sung-yueng Ki,Leon Britton,Leroy Fer,Gylfi SigurÃ°sson, Llorente,Nathan Dyer,Artur Boruc,Simon Francis,Steve Cook,Nathan AkÃ©,Charlie Daniels,Andrew Surman,Harry Arter,Junior Stanislas,Ryan Fraser,Jack Wilshere,Benik Afobe,0.0,3.0,2017
swansea-city,arsenal-fc,Åukasz FabiaÅski,Alfie Mawson,Kyle Naughton,Federico FernÃ¡ndez,Stephen Kingsley,Sung-yueng Ki,Gylfi SigurÃ°sson,Jack Cork, Llorente,Nathan Dyer,Wayne Routledge,Petr Äech, Gabriel Paulista,Laurent Koscielny, Nacho Monreal,Shkodran Mustafi,Aaron Ramsey,Mesut Ãzil,Granit Xhaka,Alexis SÃ¡nchez,Olivier Giroud,Alex Iwobi,0.0,4.0,2017
swansea-city,burnley-fc,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Tom Carroll, Llorente,Luciano Narsingh,Paul Robinson,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robbie Brady,Jeff Hendrick,Joey Barton,Andre Gray,Sam Vokes,George Boyd,3.0,2.0,2017
swansea-city,chelsea-fc,Åukasz FabiaÅski, Jordi Amat,Neil Taylor,Kyle Naughton,Federico FernÃ¡ndez,Stephen Kingsley,Sung-yueng Ki,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork, Llorente,Thibaut Courtois,Branislav IvanoviÄ,Gary Cahill,John Terry, Azpilicueta,N'Golo KantÃ©, Oscar,Nemanja MatiÄ,Eden Hazard, Diego Costa, Willian,2.0,2.0,2017
swansea-city,crystal-palace,Åukasz FabiaÅski, Jordi Amat,Neil Taylor,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Jay Fulton,Wayne Routledge,Modou Barrow,Wayne Hennessey,Joel Ward,James Tomkins,Scott Dann,Martin Kelly,Yohan Cabaye,James McArthur,Jason Puncheon,Wilfried Zaha,Christian Benteke,Connor Wickham,5.0,4.0,2017
swansea-city,everton-fc,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Sung-yueng Ki,Leon Britton,Gylfi SigurÃ°sson,Tom Carroll,Jordan Ayew, Llorente,Maarten Stekelenburg,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Gareth Barry,Tom Davies,Romelu Lukaku,Kevin Mirallas,Dominic Calvert-Lewin,1.0,0.0,2017
swansea-city,hull-city,Åukasz FabiaÅski, Jordi Amat,Kyle Naughton,Federico FernÃ¡ndez,Stephen Kingsley,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork, Llorente,Wayne Routledge,Modou Barrow,Eldin JakupoviÄ,Andrew Robertson,Curtis Davies,Ahmed El Mohamady,David Meyler,Tom Huddlestone,Robert Snodgrass,Sam Clucas,Jake Livermore,Abel HernÃ¡ndez,Adama DiomandÃ©,0.0,2.0,2017
swansea-city,leicester-city,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Tom Carroll, Llorente,Nathan Dyer,Kasper Schmeichel,Wes Morgan,Robert Huth,Danny Simpson,Christian Fuchs,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Demarai Gray,2.0,0.0,2017
swansea-city,liverpool-fc,Åukasz FabiaÅski, Jordi Amat,Mike van der Hoorn, Ãngel Rangel,Kyle Naughton,Leon Britton,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork, Borja BastÃ³n,Wayne Routledge,Loris Karius,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum, Coutinho,Jordan Henderson,Adam Lallana, Roberto Firmino,Sadio ManÃ©,1.0,2.0,2017
swansea-city,manchester-city,Åukasz FabiaÅski, Jordi Amat,Mike van der Hoorn, Ãngel Rangel,Kyle Naughton,Leon Britton,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork, Llorente,Wayne Routledge,Claudio Bravo,Bacary Sagna,Aleksandar Kolarov,John Stones,NicolÃ¡s Otamendi,Ä°lkay GÃ¼ndoÄan,Kevin De Bruyne, David Silva, Fernandinho,Raheem Sterling,Kun AgÃ¼ero,1.0,3.0,2017
swansea-city,manchester-united,Åukasz FabiaÅski,Mike van der Hoorn,Alfie Mawson, Ãngel Rangel,Stephen Kingsley,Sung-yueng Ki,Leon Britton,Gylfi SigurÃ°sson, Llorente, Borja BastÃ³n,Wayne Routledge, De Gea,Phil Jones,Marcos Rojo,Matteo Darmian,Paul Pogba, Mata,Michael Carrick,Ashley Young,Marouane Fellaini,Zlatan IbrahimoviÄ,Wayne Rooney,1.0,3.0,2017
swansea-city,middlesbrough-fc,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Tom Carroll,Jordan Ayew,Luciano Narsingh, VÃ­ctor ValdÃ©s, FÃ¡bio,Bernardo Espinosa,Ben Gibson, BarragÃ¡n,Adam Clayton,Marten de Roon,Stewart Downing,GastÃ³n RamÃ­rez, Ãlvaro Negredo,Adama TraorÃ©,0.0,0.0,2017
swansea-city,southampton-fc,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Tom Carroll, Llorente,Wayne Routledge,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Jordy Clasie,Steven Davis, Oriol Romeu,Nathan Redmond,Shane Long,DuÅ¡an TadiÄ,2.0,1.0,2017
swansea-city,stoke-city,Åukasz FabiaÅski,Alfie Mawson,Kyle Naughton,Federico FernÃ¡ndez,Stephen Kingsley,Leon Britton,Leroy Fer,Gylfi SigurÃ°sson,Tom Carroll,Jordan Ayew, Llorente,Jack Butland,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Geoff Cameron,Joe Allen,Xherdan Shaqiri,Saido Berahino,Marko ArnautoviÄ,Peter Crouch,2.0,0.0,2017
swansea-city,sunderland-afc,Åukasz FabiaÅski, Jordi Amat,Neil Taylor,Alfie Mawson, Ãngel Rangel,Leon Britton,Gylfi SigurÃ°sson,Jay Fulton, Llorente,Wayne Routledge,Modou Barrow,Jordan Pickford,Billy Jones,Patrick van Aanholt,Jason Denayer,Papy Djilobodji,Lamine KonÃ©,Sebastian Larsson,Didier Ndong,Steven Pienaar,Jermain Defoe,Victor Anichebe,3.0,0.0,2017
swansea-city,tottenham-hotspur,Åukasz FabiaÅski,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leroy Fer,Gylfi SigurÃ°sson,Jack Cork,Tom Carroll,Jordan Ayew,Wayne Routledge,Michel Vorm,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Eric Dier,Moussa Sissoko,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,1.0,3.0,2017
swansea-city,watford-fc,Åukasz FabiaÅski,Mike van der Hoorn,Alfie Mawson,Kyle Naughton,Stephen Kingsley,Sung-yueng Ki,Leon Britton,Gylfi SigurÃ°sson, Borja BastÃ³n,Wayne Routledge,Modou Barrow, Gomes,Miguel Britos,YounÃ¨s Kaboul,Sebastian PrÃ¶dl,Juan ZÃºÃ±iga,JosÃ© Holebas,Valon Behrami,Ãtienne Capoue,Roberto Pereyra,Troy Deeney,Odion Ighalo,0.0,0.0,2017
swansea-city,west-bromwich-albion,Kristoffer Nordfeldt,Alfie Mawson,Martin Olsson,Kyle Naughton,Federico FernÃ¡ndez,Leon Britton,Leroy Fer,Gylfi SigurÃ°sson,Tom Carroll,Jordan Ayew, Llorente,Ben Foster,Allan Nyom,Jonny Evans,Marc Wilson,Craig Dawson,Claudio Yacob,James Morrison,Jake Livermore,Chris Brunt,Darren Fletcher,SalomÃ³n RondÃ³n,2.0,1.0,2017
swansea-city,west-ham-united,Åukasz FabiaÅski,Mike van der Hoorn,Alfie Mawson, Ãngel Rangel,Stephen Kingsley,Leon Britton,Gylfi SigurÃ°sson,Jack Cork,Jay Fulton, Borja BastÃ³n,Wayne Routledge,Darren Randolph,Winston Reid,Aaron Cresswell,Angelo Ogbonna,HÃ¥vard Nordtveit,Cheikhou KouyatÃ©,Mark Noble,Dimitri Payet,Michail Antonio,Andy Carroll,AndrÃ© Ayew,1.0,4.0,2017
tottenham-hotspur,afc-bournemouth,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Junior Stanislas,Jack Wilshere,Benik Afobe,Joshua King,4.0,0.0,2017
tottenham-hotspur,arsenal-fc,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Ben Davies,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane,Petr Äech,Kieran Gibbs, Gabriel Paulista,Laurent Koscielny, Nacho Monreal,Aaron Ramsey,Mesut Ãzil,Granit Xhaka,Alexis SÃ¡nchez,Olivier Giroud,Alex Oxlade-Chamberlain,2.0,0.0,2017
tottenham-hotspur,burnley-fc,Hugo Lloris,Kyle Walker,Danny Rose,Jan Vertonghen,Harry Winks,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Harry Kane,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Dean Marney,Jeff Hendrick,Scott Arfield,Andre Gray,Ashley Barnes,George Boyd,2.0,1.0,2017
tottenham-hotspur,chelsea-fc,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Harry Kane,Thibaut Courtois, Marcos Alonso,Gary Cahill, Azpilicueta, David Luiz,N'Golo KantÃ©,Victor Moses,Nemanja MatiÄ,Eden Hazard, Pedro, Diego Costa,2.0,0.0,2017
tottenham-hotspur,crystal-palace,Michel Vorm,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Christian Eriksen,Vincent Janssen,Harry Kane,Ãrik Lamela,Wayne Hennessey,Joel Ward,Scott Dann,Pape SouarÃ©,Damien Delaney,Andros Townsend,Chung-yong Lee,Joe Ledley,Jason Puncheon,Wilfried Zaha,Connor Wickham,1.0,0.0,2017
tottenham-hotspur,everton-fc,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Harry Kane, Joel,Leighton Baines,Ashley Williams,SÃ©amus Coleman,Ramiro Funes Mori,Morgan Schneiderlin,Ross Barkley,Idrissa Gueye,Gareth Barry,Tom Davies,Romelu Lukaku,3.0,2.0,2017
tottenham-hotspur,hull-city,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Harry Kane,David Marshall,Andrew Robertson,Harry Maguire,Curtis Davies,Michael Dawson,Ahmed El Mohamady,Tom Huddlestone,Robert Snodgrass,Sam Clucas,Jake Livermore,Adama DiomandÃ©,3.0,0.0,2017
tottenham-hotspur,leicester-city,Hugo Lloris,Kyle Walker,Danny Rose,Jan Vertonghen,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Vincent Janssen,Kasper Schmeichel,Wes Morgan,Robert Huth,Danny Simpson,Christian Fuchs,Danny Drinkwater,Andy King,Riyad Mahrez,Ahmed Musa,Jamie Vardy,Shinji Okazaki,1.0,1.0,2017
tottenham-hotspur,liverpool-fc,Michel Vorm,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane,Ãrik Lamela,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum, Coutinho,Jordan Henderson,Adam Lallana, Roberto Firmino,Sadio ManÃ©,1.0,1.0,2017
tottenham-hotspur,manchester-city,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Moussa Sissoko,Dele Alli,Christian Eriksen,Heung-min Son,Ãrik Lamela,Claudio Bravo,Pablo Zabaleta,Aleksandar Kolarov,John Stones,NicolÃ¡s Otamendi, Fernando, JesÃºs Navas, David Silva, Fernandinho,Raheem Sterling,Kun AgÃ¼ero,2.0,0.0,2017
tottenham-hotspur,manchester-united,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Ben Davies,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane, De Gea,Eric Bailly,Phil Jones,Chris Smalling,Daley Blind, Mata,Jesse Lingard,Michael Carrick,Axel Tuanzebe,Wayne Rooney,Anthony Martial,2.0,1.0,2017
tottenham-hotspur,middlesbrough-fc,Hugo Lloris,Kyle Walker,Toby Alderweireld,Ben Davies,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane, VÃ­ctor ValdÃ©s, FÃ¡bio,Bernardo Espinosa,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Stewart Downing,Adam Forshaw, Ãlvaro Negredo,Adama TraorÃ©,1.0,0.0,2017
tottenham-hotspur,southampton-fc,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Fraser Forster, CÃ©dric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Steven Davis, Oriol Romeu,James Ward-Prowse,Nathan Redmond,DuÅ¡an TadiÄ,Manolo Gabbiadini,2.0,1.0,2017
tottenham-hotspur,stoke-city,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Harry Kane,Lee Grant,Phil Bardsley,Erik Pieters,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Charlie Adam,Ramadan Sobhi,Marko ArnautoviÄ,Peter Crouch,4.0,0.0,2017
tottenham-hotspur,sunderland-afc,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Moussa Sissoko,Mousa DembÃ©lÃ©,Dele Alli,Heung-min Son,Harry Kane,Jordan Pickford,Jason Denayer,Papy Djilobodji, Manquillo,Lamine KonÃ©,Jan Kirchhoff,Lee Cattermole,Didier Ndong,Steven Pienaar,Adnan Januzaj,Jermain Defoe,1.0,0.0,2017
tottenham-hotspur,swansea-city,Hugo Lloris,Kyle Walker,Danny Rose,Jan Vertonghen,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Harry Kane,Åukasz FabiaÅski, Jordi Amat,Neil Taylor,Mike van der Hoorn,Kyle Naughton,Leroy Fer,Jefferson Montero,Gylfi SigurÃ°sson,Jack Cork,Jay Fulton,Modou Barrow,5.0,0.0,2017
tottenham-hotspur,watford-fc,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Ben Davies,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Heung-min Son,Vincent Janssen, Gomes,Adrian Mariappa,Craig Cathcart,Daryl Janmaat,JosÃ© Holebas,Tom Cleverley,Abdoulaye DoucourÃ©,Nordin Amrabat,Isaac Success,M'Baye Niang,Stefano Okaka,4.0,0.0,2017
tottenham-hotspur,west-bromwich-albion,Hugo Lloris,Kyle Walker,Danny Rose,Toby Alderweireld,Jan Vertonghen,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Dele Alli,Christian Eriksen,Harry Kane,Ben Foster,Jonas Olsson,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Matt Phillips,Chris Brunt,Darren Fletcher,SalomÃ³n RondÃ³n,Nacer Chadli,4.0,0.0,2017
tottenham-hotspur,west-ham-united,Hugo Lloris,Kyle Walker,Danny Rose,Jan Vertonghen,Harry Winks,Victor Wanyama,Eric Dier,Mousa DembÃ©lÃ©,Christian Eriksen,Vincent Janssen,Harry Kane,Darren Randolph,Winston Reid,Aaron Cresswell,Angelo Ogbonna,Cheikhou KouyatÃ©,Manuel Lanzini, Pedro Obiang,Dimitri Payet,Michail Antonio,Diafra Sakho,AndrÃ© Ayew,3.0,2.0,2017
watford-fc,afc-bournemouth, Gomes,YounÃ¨s Kaboul,Sebastian PrÃ¶dl,Juan ZÃºÃ±iga,JosÃ© Holebas,Valon Behrami,Ãtienne Capoue,Roberto Pereyra,Nordin Amrabat,Troy Deeney,Odion Ighalo,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Andrew Surman,Harry Arter,Junior Stanislas,Jack Wilshere,Callum Wilson,Jordon Ibe,2.0,2.0,2017
